adm0_en,len_crs,area_crs,len_km,area_km2
Philippines (the),7745,535389,7,0.0
Philippines (the),93,247,0,0.0
Philippines (the),124,457,0,0.0
Philippines (the),3078,92477,3,0.0
Philippines (the),1805,29342,1,0.0
Philippines (the),911,40023,0,0.0
Philippines (the),6120,297937,6,0.0
Philippines (the),456,13090,0,0.0
Philippines (the),934,34646,0,0.0
Philippines (the),375,6794,0,0.0
Philippines (the),1723,31411,1,0.0
Philippines (the),847,15299,0,0.0
Philippines (the),507,5953,0,0.0
Philippines (the),10711,314686,10,0.0
Philippines (the),3440,115665,3,0.0
Philippines (the),360,2348,0,0.0
Philippines (the),13382,7507010,13,7.0
Philippines (the),3087,391282,3,0.0
Philippines (the),123,956,0,0.0
Philippines (the),58,216,0,0.0
Philippines (the),103,440,0,0.0
Philippines (the),198,1940,0,0.0
Philippines (the),3617,273064,3,0.0
Philippines (the),21348,11310322,21,11.0
Philippines (the),2448,99550,2,0.0
Philippines (the),3797,954051,3,0.0
Philippines (the),4575,138095,4,0.0
Philippines (the),650,8413,0,0.0
Philippines (the),847,39762,0,0.0
